"user_username","order_id","registration_time","product_title","quantity","total_price"
"david65",15,"2025-02-18 05:53:13.493389","Prevent",1,"143.05"
"david65",15,"2025-02-18 05:53:13.493389","Piece",2,"976.16"
"david65",15,"2025-02-18 05:53:13.493389","Rule",3,"1362.3899999999999"
"doris44",51,"2025-04-19 09:13:45.677175","Hour",5,"1317.9499999999998"
"doris44",51,"2025-04-19 09:13:45.677175","Learn",5,"1168.75"
"doris44",51,"2025-04-19 09:13:45.677175","On",2,"863.14"
"egraham",75,"2025-04-17 20:55:55.715769","Rule",5,"2483.45"
"egraham",16,"2025-04-18 20:16:01.896458","Well",3,"1039.1999999999998"
"egraham",16,"2025-04-18 20:16:01.896458","Create",5,"2189.75"
"eriley",50,"2025-02-01 12:24:30.087613","Congress",5,"2201.35"
"eriley",50,"2025-02-01 12:24:30.087613","Feeling",1,"210.76"
"eriley",50,"2025-02-01 12:24:30.087613","Hour",5,"1317.9499999999998"
"eriley",42,"2025-04-22 07:30:48.714087","Shake",3,"1036.83"
"eriley",42,"2025-04-22 07:30:48.714087","His",3,"425.73"
"fordthomas",46,"2025-03-15 01:07:16.160667","Know",4,"1102.72"
"fordthomas",46,"2025-03-15 01:07:16.160667","Long",5,"1959.5"
"fordthomas",46,"2025-03-15 01:07:16.160667","Middle",1,"397.41"
"friedmancindy",69,"2025-01-31 22:47:00.077522","Large",4,"876.48"
"friedmancindy",69,"2025-01-31 22:47:00.077522","Share",5,"931.35"
"friedmancindy",54,"2025-04-15 06:53:33.595503","Street",4,"594.48"
"friedmancindy",54,"2025-04-15 06:53:33.595503","Hour",1,"263.59"
"hhawkins",59,"2025-02-22 03:44:56.365941","Create",2,"875.9"
"jerry25",71,"2025-02-15 08:00:07.483654","Learn",1,"233.75"
"john73",17,"2025-01-28 00:51:03.187809","Hour",5,"1317.9499999999998"
"jonathanmorris",45,"2025-04-27 01:50:10.297415","Rule",2,"993.38"
"joseph57",64,"2025-03-02 23:26:25.317806","Out",4,"1886.76"
"justin45",14,"2025-03-13 08:53:02.021611","Require",4,"892.52"
"justin45",14,"2025-03-13 08:53:02.021611","Effort",1,"338.11"
"laura25",36,"2025-01-25 09:23:57.749574","Whose",1,"326.47"
"lucaschristine",25,"2025-01-16 18:37:02.728687","Them",5,"2150.7"
"lucaschristine",25,"2025-01-16 18:37:02.728687","On",4,"1726.28"
"lucaschristine",25,"2025-01-16 18:37:02.728687","Learn",5,"1168.75"
"macdonaldallison",3,"2025-01-15 16:00:46.878037","Discover",5,"680.75"
"melissalester",28,"2025-02-01 05:11:35.827996","Consumer",4,"1153.76"
"melissalester",28,"2025-02-01 05:11:35.827996","Goal",2,"446.9"
"melissalester",58,"2025-02-13 10:05:32.671928","Require",2,"446.26"
"melissamitchell",22,"2025-02-26 00:05:39.456488","Feeling",3,"632.28"
"mendozaannette",18,"2025-03-20 10:34:34.527698","Discover",5,"680.75"
"mgriffin",10,"2025-01-11 19:33:32.952653","Consumer",3,"865.3199999999999"
"mgriffin",10,"2025-01-11 19:33:32.952653","Discover",1,"136.15"
"mgriffin",9,"2025-02-07 09:24:03.558581","Writer",1,"190.29"
"mgriffin",9,"2025-02-07 09:24:03.558581","Speak",1,"108.21"
"mgriffin",9,"2025-02-07 09:24:03.558581","Consumer",5,"1442.2"
"mgriffin",9,"2025-02-07 09:24:03.558581","Rule",1,"454.13"
"moonlisa",34,"2025-04-12 16:54:45.060272","Learn",2,"467.5"
"powersbryan",66,"2025-01-16 02:12:36.184895","Control",4,"1816.88"
"powersbryan",66,"2025-01-16 02:12:36.184895","Learn",3,"701.25"
"powersbryan",66,"2025-01-16 02:12:36.184895","Whose",3,"979.4100000000001"
"rojasstephanie",23,"2025-02-26 02:08:25.421563","Learn",5,"1168.75"
"rojasstephanie",48,"2025-04-01 21:42:15.970524","Congress",2,"880.54"
"salazargregory",38,"2025-02-23 20:37:07.334467","Well",5,"1732"
"sbarnes",56,"2025-04-18 10:30:54.878703","Large",3,"657.36"
"sphillips",57,"2025-04-23 07:12:06.239066","Create",4,"1751.8"
"sphillips",57,"2025-04-23 07:12:06.239066","Know",1,"275.68"
"tammysmith",39,"2025-02-28 06:01:10.382801","Sometimes",3,"39.480000000000004"
"tammysmith",39,"2025-02-28 06:01:10.382801","Rule",5,"2270.65"
"tammysmith",68,"2025-04-17 16:41:11.351866","Discover",1,"136.15"
"tlong",74,"2025-02-11 17:00:57.034636","Type",2,"923.14"
"tlong",19,"2025-04-08 20:17:48.20095","Shake",4,"1382.44"
"tlong",19,"2025-04-08 20:17:48.20095","Data",5,"837.8499999999999"
"trocha",31,"2025-03-22 03:58:12.571452","Goal",4,"893.8"
"vburns",79,"2025-01-21 18:48:15.013108","World",4,"1115.92"
"vburns",79,"2025-01-21 18:48:15.013108","Rule",3,"1490.07"
"vburns",1,"2025-04-24 22:34:27.890332","Speak",2,"216.42"
"vgreen",40,"2025-01-09 14:53:54.693378","Allow",5,"971.5"
"vgreen",40,"2025-01-09 14:53:54.693378","Popular",1,"224.84"
"wallacejacob",49,"2025-01-10 16:20:02.901681","Speak",1,"108.21"
"wallacejacob",49,"2025-01-10 16:20:02.901681","Type",3,"1384.71"
"zcrawford",35,"2025-03-11 18:27:59.465739","Effort",1,"338.11"
